City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,3.44,87,99,17.71,TF,1698710458
1,petropavlovsk-kamchatsky,53.0452,158.6483,4.33,62,0,5.36,RU,1698710557
2,vila franca do campo,37.7167,-25.4333,19.23,99,21,3.49,PT,1698710497
3,longyearbyen,78.2186,15.6401,0.91,64,75,3.6,SJ,1698710558
4,vadso,70.0744,29.7487,-2.91,86,40,4.12,NO,1698710558
5,alice springs,-23.7,133.8833,25.75,17,50,7.72,AU,1698710486
6,edinburgh of the seven seas,-37.0676,-12.3116,12.76,95,99,13.85,SH,1698710559
7,selfoss,63.9331,-20.9971,-0.53,79,33,3.77,IS,1698710559
8,albany,42.6001,-73.9662,7.55,82,100,3.13,US,1698710405
9,namtsy,62.7161,129.6658,-16.72,96,97,2.37,RU,1698710559
10,margaret river,-33.95,115.0667,13.91,64,64,4.26,AU,1698710559
11,georgetown,5.4112,100.3354,27.79,95,20,2.57,MY,1698710560
12,tolanaro,-25.0319,46.9987,24.04,88,75,0.0,MG,1698710560
13,taquaritinga do norte,-7.9031,-36.0442,19.64,78,51,3.44,BR,1698710560
14,enewetak,11.3474,162.3373,27.57,85,89,9.46,MH,1698710561
15,ushuaia,-54.8,-68.3,3.81,65,75,9.26,AR,1698710561
16,yellowknife,62.456,-114.3525,-0.71,86,75,1.54,CA,1698710495
17,la ronge,55.1001,-105.2842,-6.86,63,20,2.06,CA,1698710561
18,olovyannaya,50.95,115.5667,-5.09,87,99,2.06,RU,1698710562
19,lihue,21.9789,-159.3672,27.42,79,33,2.77,US,1698710562
20,mount pearl,47.5166,-52.7813,1.58,89,100,1.34,CA,1698710562
21,inhambane,-23.865,35.3833,19.98,71,98,5.83,MZ,1698710563
22,horta,38.5333,-28.6333,19.45,82,45,6.71,PT,1698710563
23,tazovsky,67.4667,78.7,-17.23,97,20,1.97,RU,1698710563
24,caburan,5.9181,125.6411,28.0,74,96,1.71,PH,1698710564
25,ust-tsilma,65.441,52.1498,-5.77,79,93,4.02,RU,1698710564
26,manismata,-2.4667,111.0333,24.66,94,89,0.74,ID,1698710564
27,kingston,17.997,-76.7936,28.53,85,40,3.09,JM,1698710448
28,port elizabeth,-33.918,25.5701,15.16,89,75,7.2,ZA,1698710565
29,vilyuchinsk,52.9306,158.4028,5.15,63,24,3.2,RU,1698710565
30,mana,5.6592,-53.7767,26.71,86,20,4.39,GF,1698710565
31,adamstown,-25.066,-130.1015,22.97,73,100,2.99,PN,1698710565
32,thompson,55.7435,-97.8558,-5.91,73,100,3.09,CA,1698710508
33,fort bragg,35.139,-79.006,23.91,63,0,1.54,US,1698710566
34,bethel,41.3712,-73.414,11.47,85,100,0.89,US,1698710453
35,pisco,-13.7,-76.2167,21.03,73,53,8.23,PE,1698710566
36,lompoc,34.6391,-120.4579,25.08,31,0,5.66,US,1698710455
37,kapuskasing,49.4169,-82.4331,-3.95,74,20,1.54,CA,1698710567
38,papatowai,-46.5619,169.4708,15.9,59,100,2.52,NZ,1698710567
39,waitangi,-43.9535,-176.5597,13.79,84,97,5.81,NZ,1698710568
40,katsuura,35.1333,140.3,20.06,58,0,2.56,JP,1698710568
41,hermanus,-34.4187,19.2345,14.15,75,1,7.58,ZA,1698710568
42,kudymkar,59.0173,54.656,-4.61,95,93,1.1,RU,1698710568
43,glace bay,46.1969,-59.957,3.27,94,100,1.03,CA,1698710568
44,callao,-12.0667,-77.15,24.29,73,0,9.26,PE,1698710569
45,stanley,54.868,-1.6985,7.09,92,40,1.54,GB,1698710451
46,bandarbeyla,9.4942,50.8122,26.49,84,96,5.19,SO,1698710570
47,puranpur,28.5167,80.15,18.35,71,57,1.03,IN,1698710571
48,carloforte,39.145,8.3058,21.3,82,51,7.08,IT,1698710571
